Opportunity ID,MCC_DESC,Industry_Corrected,Contract Start Date,Purchased Amount,Written Off,Date Written Off,Amount at Write Off
0062X00000vYCmFQAW,GIFT CARD NOVELTY & SOUVENIR,Other Retailer,2018-08-10,13000.0,0,,0.0
0062X00000vYgxjQAC,DRINKING PLACES (ALCOHOLIC),Other Services,2018-08-03,44400.0,0,,0.0
0062X00000vYLsxQAG,DRINKING PLACES (ALCOHOLIC),Bar / Pub / Restaurant,2018-08-16,26800.0,0,,0.0
0062X00000vYRVVQA4,MISCELLANEOUS HOME FURNISHING,Other Retailer,2018-08-03,66000.0,0,,0.0
0062X00000vYU8zQAG,AUTOMOTIVE SERVICE SHOPS,Car Sales / Garage Services,2018-07-27,5900.0,0,,0.0
0062X00000vYVcRQAW,DRY CLEANERS,Other Services,2018-07-30,16884.0,0,,0.0
0062X00000vYYMeQAO,DRAPERY WINDOWCOVERING & UPHOL,Other Retailer,2018-07-30,6432.0,0,,0.0
0062X00000vZFudQAG,RESTAURANTS (EXCEPT EXPRESS),Bar / Pub / Restaurant,2018-08-08,19950.0,0,,0.0
0062X00000wakZfQAI,RESTAURANTS (EXCEPT EXPRESS),Bar / Pub / Restaurant,2018-11-15,6250.0,0,,0.0
0062X00000waSDRQA2,CLUBS (SPORTS RECREATION),Other Services,2018-11-13,3300.0,0,,0.0
0062X00000watheQAA,MISCELLANEOUS FOOD STORES,Food / Drink Shop,2018-11-14,23000.0,0,,0.0
0062X00000wb7iCQAQ,MISCELLANEOUS FOOD STORES,Other Retailer,2018-11-23,6650.0,1,2019-07-04,3048.44
0062X00000wbauzQAA,PLUMBING/HEAT-EQUIP/SUP(P.CRD0,Other Retailer,2018-11-26,17100.0,1,2019-07-12,85.81
0062X00000wbBDcQAM,CAR WASHES,Other Services,2018-11-23,1608.0,0,,0.0
0062X00000wbC0jQAE,WOMENS READY TO WEAR STORES,Fashion Retail,2018-12-05,16950.0,0,,0.0
0062X00000wbc7VQAQ,MISCELLANEOUS FOOD STORES,Other Services,2018-11-26,12100.0,0,,0.0
0062X00000wbd3UQAQ,TOURIST ATTRACTIONS & EXHIBITS,Other Services,2018-11-29,22506.0,0,,0.0
0062X00000wbf0xQAA,ANTIQUE SHOPS-SALES REPAIRS RE,Other Retailer,2018-12-13,1876.0,0,,0.0
0062X00000wbfjnQAA,BARBER & BEAUTY SHOPS,Hair & Beauty,2018-12-03,3618.0,0,,0.0
0062X00000wbqDAQAY,INDUSTRIAL SUP-UNCLASS (P.CRD),Other Retailer,2018-12-12,3630.0,0,,0.0
0062X00000wbSURQA2,AUTOMOTIVE BODY REPAIR SHOPS,Car Sales / Garage Services,2018-12-12,35700.0,0,,0.0
0062X00000wbVYCQA2,JEWELLERY STORES WATCHES CLOCK,Other Services,2018-11-22,23200.0,0,,0.0
0062X00000wbYixQAE,SPORTS APPEREL RIDING APPEREL,Fashion Retail,2018-11-22,6650.0,0,,0.0
